Name,Region,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
Midwest/Southeast/Northeast Winter Storm (January 2014),SouthEast Climate Region,Winter Storm,20140105,20140108,2911.5,2172.7,16
Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014),SouthEast Climate Region,Severe Storm,20140427,20140501,2309.2,1736.1,33
Rockies/Midwest/Eastern Severe Weather (May 2014),SouthEast Climate Region,Severe Storm,20140518,20140523,4901.4,3713.2,0
"Central and Eastern Winter storm, Cold Wave (February 2015)",SouthEast Climate Region,Winter Storm,20150214,20150220,3969.3,2962.1,30
Midwest/Ohio Valley Severe Weather (April 2015),SouthEast Climate Region,Severe Storm,20150407,20150409,2069,1555.6,2
South/Southeast Severe Weather (April 2015),SouthEast Climate Region,Severe Storm,20150418,20150420,1707.6,1283.9,0
South and Southeast Severe Weather (April 2015),SouthEast Climate Region,Severe Storm,20150424,20150425,1255.8,944,3
Texas and Oklahoma Flooding and Severe Weather (May 2015),SouthEast Climate Region,Flooding,20150523,20150526,3375.6,2500.4,31
Central and Northeast Severe Weather (June 2015),SouthEast Climate Region,Severe Storm,20150621,20150625,1547.1,1172,1
South Carolina and East Coast Flooding (October 2015),SouthEast Climate Region,Flooding,20151001,20151005,2637.7,1998.2,25
Southeast and Eastern Tornadoes (February 2016),SouthEast Climate Region,Severe Storm,20160222,20160224,1383.5,1040,10
North/Central Texas Hail Storm (April 2016),SouthEast Climate Region,Severe Storm,20160410,20160412,4583.2,3498.6,0
South/Southeast Tornadoes (April 2016),SouthEast Climate Region,Severe Storm,20160426,20160502,3136.7,2394.5,6
West Virginia Flooding and Ohio Valley Tornadoes (June 2016),SouthEast Climate Region,Flooding,20160622,20160624,1288.5,968.8,23
Rockies and Northeast Severe Weather (July 2016),SouthEast Climate Region,Severe Storm,20160728,20160730,1920,1465.6,0
Hurricane Matthew (October 2016),SouthEast Climate Region,Tropical Cyclone,20161008,20161012,13000,10000,49
West/Northeast/Southeast Drought (2016),SouthEast Climate Region,Drought,20160101,20161231,4580,3443.5,0
Western/Southeast Wildfires (Summer-Fall 2016),SouthEast Climate Region,Wildfire,20160601,20161231,3137.5,2395,21
Southern Tornado Outbreak and Western Storms (January 2017),SouthEast Climate Region,Severe Storm,20170120,20170122,1436.5,1105,24
Central/Southeast Tornado Outbreak (March 2017),SouthEast Climate Region,Severe Storm,20170228,20170301,2329.9,1806,6
Southeast Freeze (March 2017),SouthEast Climate Region,Freeze,20170314,20170316,1300,1000,0
South/Southeast Severe Weather (March 2017),SouthEast Climate Region,Severe Storm,20170326,20170328,3476.6,2695,0
Southeast Severe Weather and Tornadoes (April 2017),SouthEast Climate Region,Severe Storm,20170404,20170406,1259.2,976,1
South and Southeast Severe Weather (April 2017),SouthEast Climate Region,Severe Storm,20170420,20170422,1152,893,0
Missouri and Arkansas Flooding and Central Severe Weather (May 2017),SouthEast Climate Region,Flooding,20170425,20170507,2156.7,1659,20
Midwest Severe Weather (June 2017),SouthEast Climate Region,Severe Storm,20170612,20170616,1931.5,1509,0
Hurricane Harvey (August 2017),SouthEast Climate Region,Tropical Cyclone,20170825,20170831,160000,125000,89
Hurricane Irma (September 2017),SouthEast Climate Region,Tropical Cyclone,20170906,20170912,64000,50000,97
Central and Eastern Winter Storm (January 2018),SouthEast Climate Region,Winter Storm,20180103,20180105,1324.6,1043,22
Northeast Winter Storm (March 2018),SouthEast Climate Region,Winter Storm,20180301,20180303,2764.5,2194,9
Southeastern Tornadoes and Severe Weather (March 2018),SouthEast Climate Region,Severe Storm,20180318,20180321,1829.5,1452,0
