Name,Region,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
Central Severe Weather (June 2022),West North Central Climate Region,Severe Storm,20220607,20220608,2025.7,1911,0
Central Derecho (June 2022),West North Central Climate Region,Severe Storm,20220613,20220613,3386.6,3195,1
North Central and Eastern Severe Weather (July 2022),West North Central Climate Region,Severe Storm,20220722,20220724,1420.4,1340,1
Western Wildfires (Spring-Fall 2022),West North Central Climate Region,Wildfire,20220401,20221130,3296.6,3110,17
Central and Eastern Winter Storm and Cold Wave (December 2022),West North Central Climate Region,Winter Storm,20221221,20221226,8951.7,8445,87
Western/Central Drought and Heat Wave (2022),West North Central Climate Region,Drought,20220101,20221231,23480.6,20965,136
Central Severe Weather (April 2023),West North Central Climate Region,Severe Storm,20230419,20230420,3078.4,2960,1
Central and Eastern Tornadoes and Hail Storms (May 2023),West North Central Climate Region,Severe Storm,20230510,20230512,3563,3426,1
Rockies Hail Storms and Central and Eastern Severe Weather (June 2023),West North Central Climate Region,Severe Storm,20230621,20230626,5401.4,5244,8
Central Severe Weather (June 2023),West North Central Climate Region,Severe Storm,20230628,20230702,1976.8,1919,3
North Central and Eastern Severe Weather (July 2023),West North Central Climate Region,Severe Storm,20230728,20230729,1526.6,1482,2
Southern/Midwestern Drought and Heatwave (Spring-Fall 2023),West North Central Climate Region,Drought,20230401,20230930,14786.7,14082,247
Central and Southern Tornado Outbreak (April 2024),West North Central Climate Region,Severe Storm,20240426,20240428,1681,1681,3
"Central, Southern, Eastern Severe Weather (May 2024)",West North Central Climate Region,Severe Storm,20240518,20240522,4859,4859,5
Central and Eastern Severe Weather (June 2024),West North Central Climate Region,Severe Storm,20240612,20240614,1228,1228,0
Central and Northeast Severe Weather (June 2024),West North Central Climate Region,Severe Storm,20240624,20240626,1209,1209,3
