Name,Region,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
U.S. Drought (Spring-Fall 2002),Great Lakes States,Drought,20020301,20021130,16031.6,9006.4,0
Severe Storms/Hail (April 2003),Great Lakes States,Severe Storm,20030404,20030407,3430.8,2006.3,3
Severe Storms/Tornadoes (May 2003),Great Lakes States,Severe Storm,20030503,20030510,7059.5,4128.4,51
Midwest/Plains Severe Weather (July 2003),Great Lakes States,Severe Storm,20030704,20030709,1467.3,858.1,7
Southern Derecho and Eastern Severe Weather (July 2003),Great Lakes States,Severe Storm,20030721,20030723,1723.9,1008.2,7
Hurricane Isabel (September 2003),Great Lakes States,Tropical Cyclone,20030918,20030919,9322.9,5484,55
Western/Central Drought/Heat Wave (Spring-Fall 2003),Great Lakes States,Drought,20030301,20031130,8680.8,5017.7,35
California Wildfires (Fall 2003),Great Lakes States,Wildfire,20030901,20031130,6613.7,3890.4,22
"Severe Storms, Hail, Tornadoes (May 2004)",Great Lakes States,Severe Storm,20040521,20040527,1682.9,1013.9,4
Hurricane Frances (September 2004),Great Lakes States,Tropical Cyclone,20040903,20040909,16268,9800,48
Hurricane Ivan (September 2004),Great Lakes States,Tropical Cyclone,20040912,20040921,34031,20500.5,57
Hurricane Jeanne (September 2004),Great Lakes States,Tropical Cyclone,20040915,20040929,12444.5,7496.5,28
Midwest Drought (Spring-Summer 2005),Great Lakes States,Drought,20050301,20050831,2433.6,1474.8,0
Severe Storms and Tornadoes (March 2006),Great Lakes States,Severe Storm,20060308,20060313,2100.1,1337.5,10
"Midwest/Southeast Tornadoes (April 6-8, 2006)",Great Lakes States,Severe Storm,20060406,20060408,2502,1603.8,10
Midwest Tornadoes (April 2006),Great Lakes States,Severe Storm,20060413,20060416,3780.6,2423.5,27
Northeast Flooding (June 2006),Great Lakes States,Flooding,20060625,20060628,2358.5,1521.6,20
North Central Severe Weather and Tornadoes (August 2006),Great Lakes States,Severe Storm,20060823,20060824,1168.9,759,1
Midwest/Plains/Southeast Drought (Spring-Summer 2006),Great Lakes States,Drought,20060301,20060831,9536.7,5997.9,0
Central Severe Weather (October 2006),Great Lakes States,Severe Storm,20061002,20061005,1371.3,879,1
Spring Freeze (April 2007),Great Lakes States,Freeze,20070404,20070410,3168.6,2044,0
East/South Severe Weather and Flooding (April 2007),Great Lakes States,Severe Storm,20070413,20070417,3811.8,2507.8,9
Western Wildfires (Summer 2007),Great Lakes States,Wildfire,20070601,20070831,4139.4,2741.3,12
