Name,Region,Disaster,Begin Date,End Date,CPI-Adjusted Cost,Unadjusted Cost,Deaths
"Rockies and Midwest Derecho (July 10-11, 2011)",Central Climate Regiion,Severe Storm,20110710,20110711,1716.6,1235,2
"Midwest/Southeast Severe Weather (August 17-18, 2011)",Central Climate Regiion,Severe Storm,20110817,20110818,1600.4,1151.4,0
Southern Plains/Southwest Drought and Heat Wave (Spring-Summer 2011),Central Climate Regiion,Drought,20110301,20110831,17109.5,11964.8,95
Tropical Storm Lee (September 2011),Central Climate Regiion,Tropical Cyclone,20110901,20110905,3492.4,2512.5,21
Southeast/Ohio Valley Tornadoes (March 2012),Central Climate Regiion,Severe Storm,20120302,20120303,4286.4,3128.8,42
Midwest/Ohio Valley Severe Weather (April-May 2012),Central Climate Regiion,Severe Storm,20120428,20120501,4488.6,3276.3,1
Plains/East/Northeast Derecho (June-July 2012),Central Climate Regiion,Severe Storm,20120629,20120702,3957,2888.4,28
Hurricane Sandy (October 2012),Central Climate Regiion,Tropical Cyclone,20121030,20121031,88453.9,65039.6,159
U.S. Drought/Heat Wave (2012),Central Climate Regiion,Drought,20120101,20121231,41705.2,30003.6,123
Southeast Severe Weather (March 2013),Central Climate Regiion,Severe Storm,20130318,20130318,2727,2020,1
Midwest/Plains Severe Weather (April 2013),Central Climate Regiion,Severe Storm,20130407,20130411,1949.4,1444,1
Illinois Flooding and Severe Weather (April 2013),Central Climate Regiion,Flooding,20130416,20130419,1454.1,1077,4
Midwest/Plains/East Tornadoes (May 2013),Central Climate Regiion,Severe Storm,20130518,20130522,3240.5,2400.3,27
Midwest/Plains/Northeast Tornadoes (May 2013),Central Climate Regiion,Severe Storm,20130527,20130531,2448.4,1813.5,10
Ohio Valley Tornadoes (November 2013),Central Climate Regiion,Severe Storm,20131117,20131117,1472.2,1090.6,8
Western/Plains Drought/Heat Wave (Spring-Fall 2013),Central Climate Regiion,Drought,20130301,20131130,14283.6,10425.9,53
Midwest/Southeast/Northeast Winter Storm (January 2014),Central Climate Regiion,Winter Storm,20140105,20140108,2911.5,2172.7,16
Plains Severe Weather (April 2014),Central Climate Regiion,Severe Storm,20140402,20140403,1893.8,1424,0
Central Severe Weather (April 2014),Central Climate Regiion,Severe Storm,20140412,20140413,1221.1,918,0
Midwest/Southeast/Northeast Tornadoes and Flooding (April 2014),Central Climate Regiion,Severe Storm,20140427,20140501,2309.2,1736.1,33
Center Severe Weather (May 2014),Central Climate Regiion,Severe Storm,20140510,20140514,1126,853,0
Rockies/Midwest/Eastern Severe Weather (May 2014),Central Climate Regiion,Severe Storm,20140518,20140523,4901.4,3713.2,0
"Central and Eastern Winter storm, Cold Wave (February 2015)",Central Climate Regiion,Winter Storm,20150214,20150220,3969.3,2962.1,30
Midwest/Ohio Valley Severe Weather (April 2015),Central Climate Regiion,Severe Storm,20150407,20150409,2069,1555.6,2
South/Southeast Severe Weather (April 2015),Central Climate Regiion,Severe Storm,20150418,20150420,1707.6,1283.9,0
South and Southeast Severe Weather (April 2015),Central Climate Regiion,Severe Storm,20150424,20150425,1255.8,944,3
Texas and Oklahoma Flooding and Severe Weather (May 2015),Central Climate Regiion,Flooding,20150523,20150526,3375.6,2500.4,31
Central and Northeast Severe Weather (June 2015),Central Climate Regiion,Severe Storm,20150621,20150625,1547.1,1172,1
Texas Tornadoes and Midwest Flooding (December 2015),Central Climate Regiion,Severe Storm,20151226,20151229,2609.3,1961.9,50
Southeast and Eastern Tornadoes (February 2016),Central Climate Regiion,Severe Storm,20160222,20160224,1383.5,1040,10
South/Southeast Tornadoes (April 2016),Central Climate Regiion,Severe Storm,20160426,20160502,3136.7,2394.5,6
Plains Tornadoes and Central Severe Weather (May 2016),Central Climate Regiion,Severe Storm,20160508,20160511,2252.9,1719.6,2
Rockies/Central Tornadoes and Severe Weather (May 2016),Central Climate Regiion,Severe Storm,20160521,20160526,1501.5,1146.3,0
West Virginia Flooding and Ohio Valley Tornadoes (June 2016),Central Climate Regiion,Flooding,20160622,20160624,1288.5,968.8,23
Western/Southeast Wildfires (Summer-Fall 2016),Central Climate Regiion,Wildfire,20160601,20161231,3137.5,2395,21
Central/Southeast Tornado Outbreak (March 2017),Central Climate Regiion,Severe Storm,20170228,20170301,2329.9,1806,6
Midwest Tornado Outbreak (March 2017),Central Climate Regiion,Severe Storm,20170306,20170308,2807.2,2176,2
Southeast Freeze (March 2017),Central Climate Regiion,Freeze,20170314,20170316,1300,1000,0
South/Southeast Severe Weather (March 2017),Central Climate Regiion,Severe Storm,20170326,20170328,3476.6,2695,0
Southeast Severe Weather and Tornadoes (April 2017),Central Climate Regiion,Severe Storm,20170404,20170406,1259.2,976,1
South and Southeast Severe Weather (April 2017),Central Climate Regiion,Severe Storm,20170420,20170422,1152,893,0
Missouri and Arkansas Flooding and Central Severe Weather (May 2017),Central Climate Regiion,Flooding,20170425,20170507,2156.7,1659,20
Colorado Hail Storm and Central Severe Weather (May 2017),Central Climate Regiion,Severe Storm,20170508,20170511,4321.5,3350,0
North Central Severe Weather and Tornadoes (May 2017),Central Climate Regiion,Severe Storm,20170515,20170518,1214.1,941,1
Midwest Severe Weather (June 2017),Central Climate Regiion,Severe Storm,20170612,20170616,1931.5,1509,0
Midwest Severe Weather (June 2017),Central Climate Regiion,Severe Storm,20170627,20170629,1824,1425,0
Hurricane Harvey (August 2017),Central Climate Regiion,Tropical Cyclone,20170825,20170831,160000,125000,89
Central and Eastern Winter Storm (January 2018),Central Climate Regiion,Winter Storm,20180103,20180105,1324.6,1043,22
Central and Northeast Severe Weather (May 2018),Central Climate Regiion,Severe Storm,20180501,20180504,1751.3,1390,0
Central and Eastern Severe Weather (May 2018),Central Climate Regiion,Severe Storm,20180513,20180515,1726.2,1370,5
Central and Eastern Tornadoes and Severe Weather (July 2018),Central Climate Regiion,Severe Storm,20180719,20180722,1981.6,1585,0
Southwest/Southern Plains Drought (Summer-Fall 2018),Central Climate Regiion,Drought,20180601,20181230,3797.4,2990,0
"Southeast, Ohio Valley and Northeast Severe Weather (February 2019)",Central Climate Regiion,Severe Storm,20190223,20190225,1534.3,1237.5,2
Missouri River and North Central Flooding (March 2019),Central Climate Regiion,Flooding,20190314,20190331,13408.9,10727,3
Southern and Eastern Tornadoes and Severe Weather (April 2019),Central Climate Regiion,Severe Storm,20190413,20190414,1540,1252,7
Central Severe Weather (May 2019),Central Climate Regiion,Severe Storm,20190516,20190518,1196.9,973,0
"Rockies, Central and Northeast Tornadoes and Severe Weather (May 2019)",Central Climate Regiion,Severe Storm,20190526,20190529,5655.6,4598,3
"Mississippi River, Midwest and Southern Flooding (July 2019)",Central Climate Regiion,Flooding,20190315,20190731,7649.6,6169,4
Texas Tornadoes and Central Severe Weather (October 2019),Central Climate Regiion,Severe Storm,20191020,20191020,2095.9,1718,2
Southeast Tornadoes and Northern Storms and Flooding (January 2020),Central Climate Regiion,Severe Storm,20200110,20200112,1401.8,1149,10
"South, East and Northeast Severe Weather (February 2020)",Central Climate Regiion,Severe Storm,20200205,20200207,1532.2,1256,3
Tennessee Tornadoes and Southeast Severe Weather (March 2020),Central Climate Regiion,Severe Storm,20200302,20200304,2850,2336,25
